sentence,question,question_type,length,gender_match,correct_answer,verb,label
The inspectors will interrogate the wardens that the prisoners abused at the beginning of the official position,"Therefore, the prisoners abused the <MASK>",distractor-Q,short,match,true,abuse,wardens
The inspector will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position,"Therefore, the prisoners abused the <MASK>",filler-Q,long,mismatch,true,abuse,wardens
The inspectors will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position,"Therefore, the prisoners abused the <MASK>",distractor-Q,long,match,true,abuse,wardens
The singer met the stars that the fans cared for during the long absence,"Therefore, the fans cared for the <MASK>",filler-Q,short,mismatch,true,care,stars
The singers met the stars that the fans cared for during the long absence,"Therefore, the fans cared for the <MASK>",distractor-Q,short,match,true,care,stars
The singer met the stars that loyal and devoted fans cared for in recent months during the long absence,"Therefore, the fans cared for the <MASK>",filler-Q,long,mismatch,true,care,stars
The singers met the stars that loyal and devoted fans cared for in recent months during the long absence,"Therefore, the fans cared for the <MASK>",distractor-Q,long,match,true,care,stars
The medic interrogated the doctors that the injured people needed following the car accident,"Therefore, the wounded needed the <MASK>",filler-Q,short,mismatch,true,need,doctors
The medics interrogated the doctors that the injured people needed following the car accident,"Therefore, the wounded needed the <MASK>",distractor-Q,short,match,true,need,doctors
The medic interrogated the doctors that the injured people needed following yesterday evening car accident,"Therefore, the wounded needed the <MASK>",filler-Q,long,mismatch,true,need,doctors
The medics interrogated the doctors that the injured people needed following yesterday evening car accident,"Therefore, the wounded needed the <MASK>",distractor-Q,long,match,true,need,doctors
The teacher failed the girls that the students ignored since the annual trip,"Therefore, the students ignored the <MASK>",filler-Q,short,mismatch,true,ignore,girls
The teachers failed the girls that the students ignored since the annual trip,"Therefore, the students ignored the <MASK>",distractor-Q,short,match,true,ignore,girls
The teacher failed the girls that the popular and arrogant students ignored for the past month since the annual trip,"Therefore, the students ignored the <MASK>",filler-Q,long,mismatch,true,ignore,girls
The teachers failed the girls that the popular and arrogant students ignored for the past month since the annual trip,"Therefore, the students ignored the <MASK>",distractor-Q,long,match,true,ignore,girls
The president summoned the consultants that the lobbyists paid to promote the law,"Therefore, the lobbyists paid the <MASK>",filler-Q,short,mismatch,true,pay,consultants
The presidents summoned the consultants that the lobbyists paid to promote the law,"Therefore, the lobbyists paid the <MASK>",distractor-Q,short,match,true,pay,consultants
The president summoned the consultants that last year the organization's lobbyists paid to promote the law,"Therefore, the lobbyists paid the <MASK>",filler-Q,long,mismatch,true,pay,consultants
The presidents summoned the consultants that last year the organization's lobbyists paid to promote the law,"Therefore, the lobbyists paid the <MASK>",distractor-Q,long,match,true,pay,consultants
The director sketched the actresses that the extras watched during the extended scene,"Therefore, the extras watched the <MASK>",filler-Q,short,mismatch,true,watch,actresses
The directors sketched the actresses that the extras watched during the extended scene,"Therefore, the extras watched the <MASK>",distractor-Q,short,match,true,watch,actresses
The director sketched the actresses that two days ago the young and excited extras watched during the extended scene,"Therefore, the extras watched the <MASK>",filler-Q,long,mismatch,true,watch,actresses
The directors sketched the actresses that two days ago the young and excited extras watched during the extended scene,"Therefore, the extras watched the <MASK>",distractor-Q,long,match,true,watch,actresses
The detective located the smugglers that the assistants helped for a high fee,"Therefore, the assistants helped the <MASK>",filler-Q,short,mismatch,true,help,smugglers
The detectives located the smugglers that the assistants helped for a high fee,"Therefore, the assistants helped the <MASK>",distractor-Q,short,match,true,help,smugglers
The detective located the smugglers that two weeks ago the smart and agile assistants helped for a high fee,"Therefore, the assistants helped the <MASK>",filler-Q,long,mismatch,true,help,smugglers
The detectives located the smugglers that two weeks ago the smart and agile assistants helped for a high fee,"Therefore, the assistants helped the <MASK>",distractor-Q,long,match,true,help,smugglers
The manager knew the cashiers that the customers heard during the busy shift,"Therefore, the customers heard the <MASK>",filler-Q,short,mismatch,true,hear,cashiers
The managers knew the cashiers that the customers heard during the busy shift,"Therefore, the customers heard the <MASK>",distractor-Q,short,match,true,hear,cashiers
The manager knew the cashiers that yesterday morning the demanding and opinionated customers heard during the busy shift,"Therefore, the customers heard the <MASK>",filler-Q,long,mismatch,true,hear,cashiers
The managers knew the cashiers that yesterday morning the demanding and opinionated customers heard  during the busy shift,"Therefore, the customers heard the <MASK>",distractor-Q,long,match,true,hear,cashiers
The ambassador appreciated the interpreters that the representatives supported despite the expected difficulties,"Therefore, the representatives supported the <MASK>",filler-Q,short,mismatch,true,support,interpreters
The ambassadors appreciated the interpreters that the representatives supported despite the expected difficulties,"Therefore, the representatives supported the <MASK>",distractor-Q,short,match,true,support,interpreters
The ambassador appreciated the interpreters that last week the moderate representatives at the conference supported despite the expected difficulties,"Therefore, the representatives supported the <MASK>",filler-Q,long,mismatch,true,support,interpreters
The ambassadors appreciated the interpreters that last week the moderate representatives at the conference supported despite the expected difficulties,"Therefore, the representatives supported the <MASK>",distractor-Q,long,match,true,support,interpreters
The defense attorney accompanied the accused ones that the jurors disliked in light of the accumulated evidence,"Therefore, the jurors disliked the accused <MASK>",filler-Q,short,mismatch,true,dislike,ones
The defense attorneys accompanied the accused ones that the jurors disliked in light of the accumulated evidence,"Therefore, the jurors disliked the accused <MASK>",distractor-Q,short,match,true,dislike,ones
The defense attorney accompanied the accused ones that two weeks ago the older and conservative jurors disliked in light of the accumulated evidence,"Therefore, the jurors disliked the accused <MASK>",filler-Q,long,mismatch,true,dislike,ones
The defense attorneys accompanied the accused ones that two weeks ago the older and conservative jurors disliked in light of the accumulated evidence,"Therefore, the jurors disliked the accused <MASK>",distractor-Q,long,match,true,dislike,ones
The choreographer recognized the dancers that cast members mocked during the first audition,"Therefore, the cast mocked the <MASK>",filler-Q,short,mismatch,true,mock,dancers
The choreographers recognized the dancers that cast members mocked during the first audition,"Therefore, the cast mocked the <MASK>",distractor-Q,short,match,true,mock,dancers
The choreographer recognized the dancers that last year's arrogant cast members mocked during the first audition,"Therefore, the cast mocked the <MASK>",filler-Q,long,mismatch,true,mock,dancers
The choreographers recognized the dancers that last year's arrogant cast members mocked during the first audition,"Therefore, the cast mocked the <MASK>",distractor-Q,long,match,true,mock,dancers
The king nurtured the princesses that the subjects rebelled against during the transition of power,"Therefore, the subjects rebelled against the <MASK>",filler-Q,short,mismatch,true,rebel,princesses
The kings nurtured the princesses that the subjects rebelled against during the transition of power,"Therefore, the subjects rebelled against the <MASK>",distractor-Q,short,match,true,rebel,princesses
The king nurtured the princesses that a year ago the poor and unfortunate subjects rebelled against during the transition of power,"Therefore, the subjects rebelled against the <MASK>",filler-Q,long,mismatch,true,rebel,princesses
The kings nurtured the princesses that a year ago the poor and unfortunate subjects rebelled against during the transition of power,"Therefore, the subjects rebelled against the <MASK>",distractor-Q,long,match,true,rebel,princesses
The tenant hosted the old women that the neighbors gossiped about at the last building meeting,"Therefore, the neighbors gossiped about the old <MASK>",filler-Q,short,mismatch,true,gossip,women
The tenants hosted the old women that the neighbors gossiped about at the last building meeting,"Therefore, the neighbors gossiped about the old <MASK>",distractor-Q,short,match,true,gossip,women
The tenant hosted the old women that last week the rude neighbors gossiped about at the last building meeting,"Therefore, the neighbors gossiped about the old <MASK>",filler-Q,long,mismatch,true,gossip,women
The tenants hosted the old women that last week the rude neighbors gossiped about at the last building meeting,"Therefore, the neighbors gossiped about the old <MASK>",distractor-Q,long,match,true,gossip,women
The dealer advertised the painters that the collectors looked at during the gallery visit,"Therefore, the collectors looked at the <MASK>",filler-Q,short,mismatch,true,look,painters
The dealers advertised the painters that the collectors looked at during the gallery visit,"Therefore, the collectors looked at the <MASK>",distractor-Q,short,match,true,look,painters
The dealer advertised the painters that a month ago the rich and mysterious collectors looked at during the visit to the gallery,"Therefore, the collectors looked at the <MASK>",filler-Q,long,mismatch,true,look,painters
The dealers advertised the painters that a month ago the rich and mysterious collectors looked at during the visit to the gallery,"Therefore, the collectors looked at the <MASK>",distractor-Q,long,match,true,look,painters
The officer trained the sergeants that the recruits feared during the long drills,"Therefore, the rookies feared the <MASK>",filler-Q,short,mismatch,true,fear,sergeants
The officers trained the sergeants that the recruits feared during the long drills,"Therefore, the rookies feared the <MASK>",distractor-Q,short,match,true,fear,sergeants
The officer trained the sergeants that for the past month the confused and tired rookies feared during the long drills,"Therefore, the rookies feared the <MASK>",filler-Q,long,mismatch,true,fear,sergeants
The officers trained the sergeants that for the past month the confused and tired rookies feared during the long drills,"Therefore, the rookies feared the <MASK>",distractor-Q,long,match,true,fear,sergeants
The photographer chose the sergeants that the designers harassed after the magazine interview,"Therefore, the designers harassed the <MASK>",filler-Q,short,mismatch,true,harass,models
The photographers chose the models that the designers harassed after the magazine interview,"Therefore, the designers harassed the <MASK>",distractor-Q,short,match,true,harass,models
The photographer chose the models that in recent months the most respected designers harassed after the interview for the magazine,"Therefore, the designers harassed the <MASK>",filler-Q,long,mismatch,true,harass,models
The photographers chose the models that in recent months the most respected designers harassed after the interview for the magazine,"Therefore, the designers harassed the <MASK>",distractor-Q,long,match,true,harass,models
The presenter despised the reporters that superiors impressed by their extraordinary professionalism,"Therefore, the seniors impressed the <MASK>",filler-Q,short,mismatch,true,impress,reporters
The presenters despised the reporters that superiors impressed by their extraordinary professionalism,"Therefore, the seniors impressed the <MASK>",distractor-Q,short,match,true,impress,reporters
The presenter despised the reporters that last year's executives at the central channel impressed thanks to their extraordinary professionalism,"Therefore, the seniors impressed the <MASK>",filler-Q,long,mismatch,true,impress,reporters
The presenters despised the reporters that last year's executives at the central channel impressed thanks to their extraordinary professionalism,"Therefore, the seniors impressed the <MASK>",distractor-Q,long,match,true,impress,reporters
The cook liked the waitresses that the diners complimented at the end of the impressive event,"Therefore, the diners complimented the <MASK>",filler-Q,short,mismatch,true,compliment,waitresses
The cooks liked the waitresses that the diners complimented at the end of the impressive event,"Therefore, the diners complimented the <MASK>",distractor-Q,short,match,true,compliment,waitresses
The cook liked the waitresses that yesterday evening the seventy satisfied diners complimented at the end of the impressive event,"Therefore, the diners complimented the <MASK>",filler-Q,long,mismatch,true,compliment,waitresses
The cooks liked the waitresses that yesterday evening the seventy satisfied diners complimented at the end of the impressive event,"Therefore, the diners complimented the <MASK>",distractor-Q,long,match,true,compliment,waitresses
The pianist introduced the composers that the violinists admired during rehearsals for the concert,"Therefore, the violinists admired the <MASK>",filler-Q,short,mismatch,true,admire,composers
The pianists introduced the composers that the violinists admired during rehearsals for the concert,"Therefore, the violinists admired the <MASK>",distractor-Q,short,match,true,admire,composers
The pianist introduced the composers who last month the old and famous violinists admired during rehearsals for the concert,"Therefore, the violinists admired the <MASK>",filler-Q,long,mismatch,true,admire,composers
The pianists introduced the composers who last month the old and famous violinists admired during rehearsals for the concert,"Therefore, the violinists admired the <MASK>",distractor-Q,long,match,true,admire,composers
The inspector overtook the drivers that the motorcyclists escaped while the traffic light was changing,"Therefore, the bikers escaped from the <MASK>",filler-Q,short,mismatch,true,escape,drivers
The inspectors overtook the drivers that the motorcyclists escaped while the traffic light was changing,"Therefore, the bikers escaped from the <MASK>",distractor-Q,short,match,true,escape,drivers
The inspector overtook the drivers who this morning the careless motorcyclists escaped while the traffic light was changing,"Therefore, the bikers escaped from the <MASK>",filler-Q,long,mismatch,true,escape,drivers
The inspectors overtook the drivers who this morning the careless motorcyclists escaped while the traffic light was changing,"Therefore, the bikers escaped from the <MASK>",distractor-Q,long,match,true,escape,drivers
The referee disqualified the tennis players that the spectators approached at the end of the opening match,"Therefore, the spectators approached the tennis <MASK>",filler-Q,short,mismatch,true,approach,players
The referees disqualified the tennis players that the spectators approached at the end of the opening match,"Therefore, the spectators approached the tennis <MASK>",distractor-Q,short,match,true,approach,players
The referee disqualified the tennis players who a week ago the spectators from the upper stand approached at the end of the opening match,"Therefore, the spectators approached the tennis <MASK>",filler-Q,long,mismatch,true,approach,players
The referees disqualified the tennis players who a week ago the spectators from the upper stand approached at the end of the opening match,"Therefore, the spectators approached the tennis <MASK>",distractor-Q,long,match,true,approach,players
The clerk found the bank managers that the robbers shot before the police arrived on the scene,"Therefore, the robbers shot the bank <MASK>",filler-Q,short,mismatch,true,shoot,managers
The clerks found the bank managers that the robbers shot before the police arrived on the scene,"Therefore, the robbers shot the bank <MASK>",distractor-Q,short,match,true,shoot,managers
The clerk found the bank managers that this morning the armed and dangerous robbers shot before the police arrived at the scene,"Therefore, the robbers shot the bank <MASK>",filler-Q,long,mismatch,true,shoot,managers
The clerks found the bank managers that this morning the armed and dangerous robbers shot before the police arrived at the scene,"Therefore, the robbers shot the bank <MASK>",distractor-Q,long,match,true,shoot,managers
The architect hated the brokers that the tenants trusted in the process of writing the contract,"Therefore, the tenants trusted the <MASK>",filler-Q,short,mismatch,true,trust,brokers
The architects hated the brokers that the tenants trusted in the process of writing the contract,"Therefore, the tenants trusted the <MASK>",distractor-Q,short,match,true,trust,brokers
The architect hated the brokers that last year the careful and experienced tenants trusted in the process of writing the contract,"Therefore, the tenants trusted the <MASK>",filler-Q,long,mismatch,true,trust,brokers
The architects hated the brokers that last year the careful and experienced tenants trusted in the process of writing the contract,"Therefore, the tenants trusted the <MASK>",distractor-Q,long,match,true,trust,brokers
The practitioner saw the students that the lecturers advised during the difficult test,"Therefore, the lecturers advised the <MASK>",filler-Q,short,mismatch,true,advise,students
The practitioners saw the students that the lecturers advised during the difficult test,"Therefore, the lecturers advised the <MASK>",distractor-Q,short,match,true,advise,students
The practitioner saw the students that two days ago the inexperienced lecturers advised during the difficult test,"Therefore, the lecturers advised the <MASK>",filler-Q,long,mismatch,true,advise,students
The practitioners saw the students that two days ago the inexperienced lecturers advised during the difficult test,"Therefore, the lecturers advised the <MASK>",distractor-Q,long,match,true,advise,students
The diagnostician looked for the psychologists that the patients appreciated thanks to the personal attitude,"Therefore, the patients appreciated the <MASK>",filler-Q,short,mismatch,true,appreciate,psychologists
The diagnosticians looked for the psychologists that the patients appreciated thanks to the personal attitude,"Therefore, the patients appreciated the <MASK>",distractor-Q,short,match,true,appreciate,psychologists
The diagnostician looked for the psychologists that in recent months the patients in the rehabilitation wing appreciated thanks to the personal attitude,"Therefore, the patients appreciated the <MASK>",filler-Q,long,mismatch,true,appreciate,psychologists
The diagnosticians looked for the psychologists that in recent months the patients in the rehabilitation wing appreciated thanks to the personal attitude,"Therefore, the patients appreciated the <MASK>",distractor-Q,long,match,true,appreciate,psychologists
The broadcaster interviewed the swimmers that the competitors watched during the coverage of the results,"Therefore, the competitors watched the <MASK>",filler-Q,short,mismatch,true,watch,swimmers
The broadcasters interviewed the swimmers that the competitors watched during the coverage of the results,"Therefore, the competitors watched the <MASK>",distractor-Q,short,match,true,watch,swimmers
The broadcaster interviewed the swimmers that last week the leading competitors in the world watched during the coverage of the results,"Therefore, the competitors watched the <MASK>",filler-Q,long,mismatch,true,watch,swimmers
The broadcasters interviewed the swimmers that last week the leading competitors in the world watched during the coverage of the results,"Therefore, the competitors watched the <MASK>",distractor-Q,long,match,true,watch,swimmers
The editor censored the journalists that the readers influenced following the poignant article,"Therefore, the readers influenced the <MASK>",filler-Q,short,mismatch,true,influence,journalists
The editors censored the journalists that the readers influenced following the poignant article,"Therefore, the readers influenced the <MASK>",distractor-Q,short,match,true,influence,journalists
The editor censored the journalists that last week's devout and educated readers influenced following the poignant article,"Therefore, the readers influenced the <MASK>",filler-Q,long,mismatch,true,influence,journalists
The editors censored the journalists that last week's devout and educated readers influenced following the poignant article,"Therefore, the readers influenced the <MASK>",distractor-Q,long,match,true,influence,journalists
The donor bored the researchers that interns disturbed during the grant approval process,"Therefore, the interns disturbed the <MASK>",filler-Q,short,mismatch,true,disturb,researchers
The donors bored the researchers that interns disturbed during the grant approval process,"Therefore, the interns disturbed the <MASK>",distractor-Q,short,match,true,disturb,researchers
The donor bored the researchers that last year the lazy and dependent interns disturbed during the grant approval process,"Therefore, the interns disturbed the <MASK>",filler-Q,long,mismatch,true,disturb,researchers
The donors bored the researchers that last year the lazy and dependent interns disturbed during the grant approval process,"Therefore, the interns disturbed the <MASK>",distractor-Q,long,match,true,disturb,researchers
