Set,Dependency,animcay,מין דקדוקי,Distractor,זה,NP,ש,היה,adv,PP,של,distractor,PP2,verb,so1,so2,so2,full sentence,תשובה 1,תשובה 2
3,F-G,animate,נקבה,Match,זו,התינוקת,ש,,היום,בצהרון,של,הגננת,הצעירה,התגלגלה,על,רחבת,הדשא,זו התינוקת שהיום בצהרון של הגננת הצעירה התגלגלה על רחבת הדשא,התינוקת התגלגלה על רחבת הדשא,הגננת התגלגלה על רחבת הדשא
3,F-G,inanimate,נקבה,Mismatch,זו,העגלה,ש,,היום,בצהרון,של,הגננת,הצעירה,התגלגלה,על,רחבת,הדשא,זו העגלה שהיום בצהרון של הגננת הצעירה התגלגלה על רחבת הדשא,העגלה התגלגלה על רחבת הדשא,הגננת התגלגלה על רחבת הדשא
4,S-V,animate,נקבה,Match,,המוכרת,ש,הייתה,היום,בחנות,של,הצורפת,המוכשרת,הלהיבה,את,הלקוח,הבזבזן,המוכרת שהייתה היום בחנות של הצורפת המוכשרת הלהיבה את הלקוח הבזבזן,המוכרת הלהיבה את הלקוח,הצורפת הלהיבה את הלקוח
4,S-V,inanimate,נקבה,Mismatch,,השרשרת,ש,הייתה,היום,בחנות,של,הצורפת,המוכשרת,הלהיבה,את,הלקוח,הבזבזן,השרשרת שהייתה היום בחנות של הצורפת המוכשרת הלהיבה את הלקוח הבזבזן,השרשרת הלהיבה את הלקוח,הצורפת הלהיבה את הלקוח
4,F-G,animate,נקבה,Match,זו,המוכרת,ש,,היום,בחנות,של,הצורפת,המוכשרת,הלהיבה,את,הלקוח,הבזבזן,זו המוכרת שהיום בחנות של הצורפת המוכשרת הלהיבה את הלקוח הבזבזן,המוכרת הלהיבה את הלקוח,הצורפת הלהיבה את הלקוח
4,F-G,inanimate,נקבה,Mismatch,זו,השרשרת,ש,,היום,בחנות,של,הצורפת,המוכשרת,הלהיבה,את,הלקוח,הבזבזן,זו השרשרת שהיום בחנות של הצורפת המוכשרת הלהיבה את הלקוח הבזבזן,השרשרת הלהיבה את הלקוח,הצורפת הלהיבה את הלקוח
5,S-V,animate,נקבה,Match,,הבחורה,ש,הייתה,השבוע,בחתונה,של,הקומיקאית,הג'ינג'ית,הדהימה,את,כל,האורחים,הבחורה שהייתה השבוע בחתונה של הקומיקאית הג'ינג'ית הדהימה את כל האורחים,הבחורה הדהימה את האורחים,הקומיקאית הדהימה את האורחים
5,S-V,inanimate,נקבה,Mismatch,,העוגה,ש,הייתה,השבוע,בחתונה,של,הקומיקאית,הג'ינג'ית,הדהימה,את,כל,האורחים,העוגה שהייתה השבוע בחתונה של הקומיקאית הג'ינג'ית הדהימה את כל האורחים,העוגה הדהימה את האורחים,הקומיקאית הדהימה את האורחים
5,F-G,animate,נקבה,Match,זו,הבחורה,ש,,השבוע,בחתונה,של,הקומיקאית,הג'ינג'ית,הדהימה,את,כל,האורחים,זו הבחורה שהשבוע בחתונה של הקומיקאית הג'ינג'ית הדהימה את כל האורחים,הבחורה הדהימה את האורחים,הקומיקאית הדהימה את האורחים
5,F-G,inanimate,נקבה,Mismatch,זו,העוגה,ש,,השבוע,בחתונה,של,הקומיקאית,הג'ינג'ית,הדהימה,את,כל,האורחים,זו העוגה שהשבוע בחתונה של הקומיקאית הג'ינג'ית הדהימה את כל האורחים,העוגה הדהימה את האורחים,הקומיקאית הדהימה את האורחים
6,S-V,animate,נקבה,Match,,המטפלת,ש,הייתה,הבוקר,בבית,של,הסבתא,הקשישה,העציבה,את,הנכדה,המתולתלת,המטפלת שהייתה הבוקר בבית של הסבתא הקשישה העציבה את הנכדה המתולתלת,המטפלת העציבה את הנכדה,הסבתא העציבה את הנכדה
6,S-V,inanimate,נקבה,Mismatch,,המזכרת,ש,הייתה,הבוקר,בבית,של,הסבתא,הקשישה,העציבה,את,הנכדה,המתולתלת,המזכרת שהייתה הבוקר בבית של הסבתא הקשישה העציבה את הנכדה המתולתלת,המזכרת העציבה את הנכדה,הסבתא העציבה את הנכדה
6,F-G,animate,נקבה,Match,זו,המטפלת,ש,,הבוקר,בבית,של,הסבתא,הקשישה,העציבה,את,הנכדה,המתולתלת,זו המטפלת שהבוקר בבית של הסבתא הקשישה העציבה את הנכדה המתולתלת,המטפלת העציבה את הנכדה,הסבתא העציבה את הנכדה
6,F-G,inanimate,נקבה,Mismatch,זו,המזכרת,ש,,הבוקר,בבית,של,הסבתא,הקשישה,העציבה,את,הנכדה,המתולתלת,זו המזכרת שהבוקר בבית של הסבתא הקשישה העציבה את הנכדה המתולתלת,המזכרת העציבה את הנכדה,הסבתא העציבה את הנכדה
7,S-V,animate,נקבה,Match,,המעריצה,ש,הייתה,הבוקר,בחדר,של,הזמרת,האנגליה,שימחה,את,חברי,הלהקה,המעריצה שהייתה הבוקר בחדר של הזמרת האנגליה שימחה את חברי הלהקה,המעריצה שימחה את חברי הלהקה,הזמרת שימחה את חברי הלהקה
7,S-V,inanimate,נקבה,Mismatch,,התמונה,ש,הייתה,הבוקר,בחדר,של,הזמרת,האנגליה,שימחה,את,חברי,הלהקה,התמונה שהייתה הבוקר בחדר של הזמרת האנגליה שימחה את חברי הלהקה,התמונה שימחה את חברי הלהקה,הזמרת שימחה את חברי הלהקה
7,F-G,animate,נקבה,Match,זו,המעריצה,ש,,הבוקר,בחדר,של,הזמרת,האנגליה,שימחה,את,חברי,הלהקה,זו המעריצה שהבוקר בחדר של הזמרת האנגליה שימחה את חברי הלהקה,המעריצה שימחה את חברי הלהקה,הזמרת שימחה את חברי הלהקה
7,F-G,inanimate,נקבה,Mismatch,זו,התמונה,ש,,הבוקר,בחדר,של,הזמרת,האנגליה,שימחה,את,חברי,הלהקה,זו התמונה שהבוקר בחדר של הזמרת האנגליה שימחה את חברי הלהקה,התמונה שימחה את חברי הלהקה,הזמרת שימחה את חברי הלהקה
8,S-V,animate,נקבה,Match,,האחות,ש,הייתה,אתמול,בבדיקה,של,המנתחת,המצליחה,הרגיעה,את,המטופלת,המודאגת,האחות שהייתה אתמול בבדיקה של המנתחת המצליחה הרגיעה את המטופלת המודאגת,האחות הרגיעה את המטופלת ,המנתחת הרגיעה את המטופלת
8,S-V,inanimate,נקבה,Mismatch,,התוצאה,ש,הייתה,אתמול,בבדיקה,של,המנתחת,המצליחה,הרגיעה,את,המטופלת,המודאגת,התוצאה שהייתה אתמול בבדיקה של המנתחת המצליחה הרגיעה את המטופלת המודאגת,התוצאה הרגיעה את המטופלת,המנתחת הרגיעה את המטופלת
8,F-G,animate,נקבה,Match,זו,האחות,ש,,היום,בבדיקה,של,המנתחת,המצליחה,הרגיעה,את,המטופלת,המודאגת,זו האחות שהיום בבדיקה של המנתחת המצליחה הרגיעה את המטופלת המודאגת,האחות הרגיעה את המטופלת ,המנתחת הרגיעה את המטופלת
8,F-G,inanimate,נקבה,Mismatch,זו,התוצאה,ש,,היום,בבדיקה,של,המנתחת,המצליחה,הרגיעה,את,המטופלת,המודאגת,זו התוצאה שהיום בבדיקה של המנתחת המצליחה הרגיעה את המטופלת המודאגת,התוצאה הרגיעה את המטופלת,המנתחת הרגיעה את המטופלת
9,S-V,animate,זכר,Match,,הסדרן,ש,היה,הערב,בהצגה,של,המחזאי,הצעיר,בלבל,את,הצופים,שנכנסו,הסדרן שהיה הערב בהצגה של המחזאי הצעיר בלבל את הצופים שנכנסו,הסדרן בלבל את הצופים,המחזאי בלבל את הצופים
9,S-V,inanimate,זכר,Mismatch,,השֶׁלֶט,ש,היה,הערב,בהצגה,של,המחזאי,הצעיר,בלבל,את,הצופים,שנכנסו,השֶׁלֶט שהיה הערב בהצגה של המחזאי הצעיר בלבל את הצופים שנכנסו,השֶׁלֶט בלבל את הצופים,המחזאי בלבל את הצופים
9,F-G,animate,זכר,Match,זה,הסדרן,ש,,הערב,בהצגה,של,המחזאי,הצעיר,בלבל,את,הצופים,שנכנסו,זה הסדרן שהערב בהצגה של המחזאי הצעיר בלבל את הצופים שנכנסו,הסדרן בלבל את הצופים,המחזאי בלבל את הצופים
9,F-G,inanimate,זכר,Mismatch,זה,השֶׁלֶט,ש,,הערב,בהצגה,של,המחזאי,הצעיר,בלבל,את,הצופים,שנכנסו,זה השֶׁלֶט שהערב בהצגה של המחזאי הצעיר בלבל את הצופים שנכנסו,השֶׁלֶט בלבל את הצופים,המחזאי בלבל את הצופים
10,S-V,animate,זכר,Match,,המתלמד,ש,היה,בצהריים,בלשכה,של,השר,הפטפטן,הכעיס,את,המפקח,הותיק,המתלמד שהיה בצהריים בלשכה של השר הפטפטן הכעיס את המפקח הותיק,המתלמד הכעיס את המפקח,השר הכעיס את המפקח
10,S-V,inanimate,זכר,Mismatch,,הדו״ח,ש,היה,בצהריים,בלשכה,של,השר,הפטפטן,הכעיס,את,המפקח,הותיק,הדו״ח שהיה בצהריים בלשכה של השר הפטפטן הכעיס את המפקח הותיק,הדו״ח הכעיס את המפקח,השר הכעיס את המפקח
10,F-G,animate,זכר,Match,זה,המתלמד,ש,,בצהריים,בלשכה,של,השר,הפטפטן,הכעיס,את,המפקח,הותיק,זה המתלמד שבצהריים בלשכה של השר הפטפטן הכעיס את המפקח הותיק,המתלמד הכעיס את המפקח,השר הכעיס את המפקח
10,F-G,inanimate,זכר,Mismatch,זה,הדו״ח,ש,,בצהריים,בלשכה,של,השר,הפטפטן,הכעיס,את,המפקח,הותיק,זה הדו״ח שבצהריים בלשכה של השר הפטפטן הכעיס את המפקח הותיק,הדו״ח הכעיס את המפקח,השר הכעיס את המפקח
11,S-V,animate,זכר,Match,,העובד,ש,היה,הבוקר,בראיון,של,המתכנת,המוכשר,עיצבן,את,ראש,הצוות,העובד שהיה הבוקר בראיון של המתכנת המוכשר עיצבן את ראש הצוות,העובד עיצבן את ראש הצוות,המתכנת עיצבן את ראש הצוות
11,S-V,inanimate,זכר,Mismatch,,המבחן,ש,היה,הבוקר,בראיון,של,המתכנת,המוכשר,עיצבן,את,ראש,הצוות,המבחן שהיה הבוקר בראיון של המתכנת המוכשר עיצבן את ראש הצוות,המבחן עיצבן את הראש הצוות,המתכנת עיצבן את ראש הצוות
11,F-G,animate,זכר,Match,זה,העובד,ש,,הבוקר,בראיון,של,המתכנת,המוכשר,עיצבן,את,ראש,הצוות,זה העובד שהבוקר בראיון של המתכנת המוכשר עיצבן את ראש הצוות,העובד עיצבן את ראש הצוות,המתכנת עיצבן את ראש הצוות
11,F-G,inanimate,זכר,Mismatch,זה,המבחן,ש,,הבוקר,בראיון,של,המתכנת,המוכשר,עיצבן,את,ראש,הצוות,זה המבחן שהבוקר בראיון של המתכנת המוכשר עיצבן את ראש הצוות,המבחן עיצבן את הראש הצוות,המתכנת עיצבן את ראש הצוות
12,S-V,animate,זכר,Match,,הכלב,ש,היה,השנה,בטיפולו,של,הנער,הַמָסוּר,גדל,בצורה,מרשימה,למדי,הכלב שהיה השנה בטיפולו של הנער הַמָסוּר גדל בצורה מרשימה למדי,הכלב גדל בצורה מרשימה,הנער גדל בצורה מרשימה
12,S-V,inanimate,זכר,Mismatch,,העציץ,ש,היה,השנה,בטיפולו,של,הנער,הַמָסוּר,גדל,בצורה,מרשימה,למדי,העציץ שהיה השנה בטיפולו של הנער הַמָסוּר גדל בצורה מרשימה למדי,העציץ גדל בצורה מרשימה,הנער גדל בצורה מרשימה
12,F-G,animate,זכר,Match,זה,הכלב,ש,,השנה,בטיפולו,של,הנער,הַמָסוּר,גדל,בצורה,מרשימה,למדי,זה הכלב שהשנה בטיפולו של הנער הַמָסוּר גדל בצורה מרשימה למדי,הכלב גדל בצורה מרשימה,הנער גדל בצורה מרשימה
12,F-G,inanimate,זכר,Mismatch,זה,העציץ,ש,,השנה,בטיפולו,של,הנער,הַמָסוּר,גדל,בצורה,מרשימה,למדי,זה העציץ שהשנה בטיפולו של הנער הַמָסוּר גדל בצורה מרשימה למדי,העציץ גדל בצורה מרשימה,הנער גדל בצורה מרשימה
13,S-V,animate,זכר,Match,,הגיטריסט,ש,היה,הערב,בחגיגה,של,המלחין,האיטלקי,ניגן,את,השיר ,האהוב,הגיטריסט שהיה הערב בחגיגה של המלחין האיטלקי ניגן את השיר  האהוב,הגיטריסט ניגן את השיר,המלחין ניגן את השיר
13,S-V,inanimate,זכר,Mismatch,,הרמקול,ש,היה,הערב,בחגיגה,של,המלחין,האיטלקי,ניגן,את,השיר ,האהוב,הרמקול שהיה הערב בחגיגה של המלחין האיטלקי ניגן את השיר  האהוב,הרמקול ניגן את השיר,המלחין ניגן את השיר
13,F-G,animate,זכר,Match,זה,הגיטריסט,ש,,הערב,בחגיגה,של,המלחין,האיטלקי,ניגן,את,השיר ,האהוב,זה הגיטריסט שהערב בחגיגה של המלחין האיטלקי ניגן את השיר  האהוב,הגיטריסט ניגן את השיר,המלחין ניגן את השיר
13,F-G,inanimate,זכר,Mismatch,זה,הרמקול,ש,,הערב,בחגיגה,של,המלחין,האיטלקי,ניגן,את,השיר ,האהוב,זה הרמקול שהערב בחגיגה של המלחין האיטלקי ניגן את השיר  האהוב,הרמקול ניגן את השיר,המלחין ניגן את השיר
14,S-V,animate,נקבה,Match,,הילדה,ש,הייתה,אתמול,בכיתה,של,המחנכת,האדיבה,נפלה,מהשולחן,העגול,הגבוה,הילדה שהייתה אתמול בכיתה של המחנכת האדיבה נפלה מהשולחן העגול הגבוה,הילדה נפלה מהשולחן העגול הגבוה,המחנכת נפלה מהשולחן העגול הגבוה
14,S-V,inanimate,נקבה,Mismatch,,החוברת,ש,הייתה,אתמול,בכיתה,של,המחנכת,האדיבה,נפלה,מהשולחן,העגול,הגבוה,החוברת שהייתה אתמול בכיתה של המחנכת האדיבה נפלה מהשולחן העגול הגבוה,החוברת נפלה מהשולחן העגול הגבוה,המחנכת נפלה מהשולחן העגול הגבוה
14,F-G,animate,נקבה,Match,זו,הילדה,ש,,אתמול,בכיתה,של,המחנכת,האדיבה,נפלה,מהשולחן,העגול,הגבוה,זו הילדה שאתמול בכיתה של המחנכת האדיבה נפלה מהשולחן העגול הגבוה,הילדה נפלה מהשולחן העגול הגבוה,המחנכת נפלה מהשולחן העגול הגבוה
14,F-G,inanimate,נקבה,Mismatch,זו,החוברת,ש,,אתמול,בכיתה,של,המחנכת,האדיבה,נפלה,מהשולחן,העגול,הגבוה,זו החוברת שאתמול בכיתה של המחנכת האדיבה נפלה מהשולחן העגול הגבוה,החוברת נפלה מהשולחן העגול הגבוה,המחנכת נפלה מהשולחן העגול הגבוה
15,S-V,animate,נקבה,Match,,הרקדנית,ש,הייתה,אמש,בהופעה,של,הכוריאוגרפית,מטורונטו,הביכה,את,מנהלת,האולם,הרקדנית שהייתה אמש בהופעה של הכוריאוגרפית מטורונטו הביכה את מנהלת האולם,הרקדנית הביכה את מנהלת האולם,הכוריאוגרפית הביכה את מנהלת האולם
15,S-V,inanimate,נקבה,Mismatch,,התפאורה,ש,הייתה,אמש,בהופעה,של,הכוריאוגרפית,מטורונטו,הביכה,את,מנהלת,האולם,התפאורה שהייתה אמש בהופעה של הכוריאוגרפית מטורונטו הביכה את מנהלת האולם,התפאורה הביכה את מנהלת האולם,הכוריאוגרפית הביכה את מנהלת האולם
15,F-G,animate,נקבה,Match,זו,הרקדנית,ש,,אמש,בהופעה,של,הכוריאוגרפית,מטורונטו,הביכה,את,מנהלת,האולם,זו הרקדנית שאמש בהופעה של הכוריאוגרפית מטורונטו הביכה את מנהלת האולם,הרקדנית הביכה את מנהלת האולם,הכוריאוגרפית הביכה את מנהלת האולם
15,F-G,inanimate,נקבה,Mismatch,זו,התפאורה,ש,,אמש,בהופעה,של,הכוריאוגרפית,מטורונטו,הביכה,את,מנהלת,האולם,זו התפאורה שאמש בהופעה של הכוריאוגרפית מטורונטו הביכה את מנהלת האולם,התפאורה הביכה את מנהלת האולם,הכוריאוגרפית הביכה את מנהלת האולם
16,S-V,animate,נקבה,Match,,הדוגמנית,ש,הייתה,הערב,באירוע,של,המעצבת,מפריז,הִרְשִׁימָה,את,הקהל,הנלהב,הדוגמנית שהייתה הערב באירוע של המעצבת מפריז הִרְשִׁימָה את הקהל הנלהב,הדוגמנית הִרְשִׁימָה את הקהל הנלהב,המעצבת הִרְשִׁימָה את הקהל הנלהב
16,S-V,inanimate,נקבה,Mismatch,,השמלה,ש,הייתה,הערב,באירוע,של,המעצבת,מפריז,הִרְשִׁימָה,את,הקהל,הנלהב,השמלה שהייתה הערב באירוע של המעצבת מפריז הִרְשִׁימָה את הקהל הנלהב,השמלה הִרְשִׁימָה את הקהל הנלהב,המעצבת הִרְשִׁימָה את הקהל הנלהב
16,F-G,animate,נקבה,Match,זו,הדוגמנית,ש,,הערב,באירוע,של,המעצבת,מפריז,הִרְשִׁימָה,את,הקהל,הנלהב,זו הדוגמנית שהערב באירוע של המעצבת מפריז הִרְשִׁימָה את הקהל הנלהב,הדוגמנית הִרְשִׁימָה את הקהל הנלהב,המעצבת הִרְשִׁימָה את הקהל הנלהב
16,F-G,inanimate,נקבה,Mismatch,זו,השמלה,ש,,הערב,באירוע,של,המעצבת,מפריז,הִרְשִׁימָה,את,הקהל,הנלהב,זו השמלה שהערב באירוע של המעצבת מפריז הִרְשִׁימָה את הקהל הנלהב,השמלה הִרְשִׁימָה את הקהל הנלהב,המעצבת הִרְשִׁימָה את הקהל הנלהב
17,S-V,animate,נקבה,Match,,הפסנתרנית,ש,הייתה,הערב,בתחרות,של,המוסיקאית,המרשימה,ריגשה,את,השופטים,הקשוחים,הפסנתרנית שהייתה הערב בתחרות של המוסיקאית המרשימה ריגשה את השופטים הקשוחים,הפסנתרנית ריגשה את השופטים הקשוחים,המוסיקאית ריגשה את השופטים הקשוחים
17,S-V,inanimate,נקבה,Mismatch,,היצירה,ש,הייתה,הערב,בתחרות,של,המוסיקאית,המרשימה,ריגשה,את,השופטים,הקשוחים,היצירה שהייתה הערב בתחרות של המוסיקאית המרשימה ריגשה את השופטים הקשוחים,היצירה ריגשה את השופטים הקשוחים,המוסיקאית ריגשה את השופטים הקשוחים
17,F-G,animate,נקבה,Match,זו,הפסנתרנית,ש,,הערב,בתחרות,של,המוסיקאית,המרשימה,ריגשה,את,השופטים,הקשוחים,זו הפסנתרנית שהערב בתחרות של המוסיקאית המרשימה ריגשה את השופטים הקשוחים,הפסנתרנית ריגשה את השופטים הקשוחים,המוסיקאית ריגשה את השופטים הקשוחים
17,F-G,inanimate,נקבה,Mismatch,זו,היצירה,ש,,הערב,בתחרות,של,המוסיקאית,המרשימה,ריגשה,את,השופטים,הקשוחים,זו היצירה שהערב בתחרות של המוסיקאית המרשימה ריגשה את השופטים הקשוחים,היצירה ריגשה את השופטים הקשוחים,המוסיקאית ריגשה את השופטים הקשוחים
18,S-V,animate,נקבה,Match,,העיתונאית,ש,הייתה,הערב,בכנס,של,המועמדת,המובילה,שכנעה,את,המצביעים,המתלבטים,העיתונאית שהייתה הערב בכנס של המועמדת המובילה שכנעה את המצביעים המתלבטים,העיתונאית שכנעה את המצביעים המתלבטים,המועמדת שכנעה את המצביעים המתלבטים
18,S-V,inanimate,נקבה,Mismatch,,המצגת,ש,הייתה,הערב,בכנס,של,המועמדת,המובילה,שכנעה,את,המצביעים,המתלבטים,המצגת שהייתה הערב בכנס של המועמדת המובילה שכנעה את המצביעים המתלבטים,המצגת שכנעה את המצביעים המתלבטים,המועמדת שכנעה את המצביעים המתלבטים
18,F-G,animate,נקבה,Match,זו,העיתונאית,ש,,הערב,בכנס,של,המועמדת,המובילה,שכנעה,את,המצביעים,המתלבטים,זו העיתונאית שהערב בכנס של המועמדת המובילה שכנעה את המצביעים המתלבטים,העיתונאית שכנעה את המצביעים המתלבטים,המועמדת שכנעה את המצביעים המתלבטים
18,F-G,inanimate,נקבה,Mismatch,זו,המצגת,ש,,הערב,בכנס,של,המועמדת,המובילה,שכנעה,את,המצביעים,המתלבטים,זו המצגת שהערב בכנס של המועמדת המובילה שכנעה את המצביעים המתלבטים,המצגת שכנעה את המצביעים המתלבטים,המועמדת שכנעה את המצביעים המתלבטים
19,S-V,animate,נקבה,Match,,המפקדת,ש,הייתה,לפנות_בוקר,במפקדה,של,הקצינה,הבכירה,העירה,את,החיילים,הקרביים,המפקדת שהייתה לפנות_בוקר במפקדה של הקצינה הבכירה העירה את החיילים הקרביים,המפקדת העירה את החיילים הקרביים,הקצינה העירה את החיילים הקרביים
19,S-V,inanimate,נקבה,Mismatch,,האזעקה,ש,הייתה,לפנות_בוקר,במפקדה,של,הקצינה,הבכירה,העירה,את,החיילים,הקרביים,האזעקה שהייתה לפנות_בוקר במפקדה של הקצינה הבכירה העירה את החיילים הקרביים,האזעקה העירה את החיילים הקרביים,הקצינה העירה את החיילים הקרביים
19,F-G,animate,נקבה,Match,זו,המפקדת,ש,,לפנות_בוקר,במפקדה,של,הקצינה,הבכירה,העירה,את,החיילים,הקרביים,זו המפקדת שלפנות_בוקר במפקדה של הקצינה הבכירה העירה את החיילים הקרביים,המפקדת העירה את החיילים הקרביים,הקצינה העירה את החיילים הקרביים
19,F-G,inanimate,נקבה,Mismatch,זו,האזעקה,ש,,לפנות_בוקר,במפקדה,של,הקצינה,הבכירה,העירה,את,החיילים,הקרביים,זו האזעקה שלפנות_בוקר במפקדה של הקצינה הבכירה העירה את החיילים הקרביים,האזעקה העירה את החיילים הקרביים,הקצינה העירה את החיילים הקרביים
20,S-V,animate,נקבה,Match,,העדה,ש,הייתה,השבוע,בדירה,של,הפושעת,הקשוחה,הפלילה,את,השותף,לפשע,העדה שהייתה השבוע בדירה של הפושעת הקשוחה הפלילה את השותף לפשע,העדה הפלילה את השותף לפשע,הפושעת הפלילה את השותף לפשע
20,S-V,inanimate,נקבה,Mismatch,,הַרְאָיָה,ש,הייתה,השבוע,בדירה,של,הפושעת,הקשוחה,הפלילה,את,השותף,לפשע,הַרְאָיָה שהייתה השבוע בדירה של הפושעת הקשוחה הפלילה את השותף לפשע,הַרְאָיָה הפלילה את השותף לפשע,הפושעת הפלילה את השותף לפשע
20,F-G,animate,נקבה,Match,זו,העדה,ש,,השבוע,בדירה,של,הפושעת,הקשוחה,הפלילה,את,השותף,לפשע,זו העדה שהשבוע בדירה של הפושעת הקשוחה הפלילה את השותף לפשע,העדה הפלילה את השותף לפשע,הפושעת הפלילה את השותף לפשע
20,F-G,inanimate,נקבה,Mismatch,זו,הַרְאָיָה,ש,,השבוע,בדירה,של,הפושעת,הקשוחה,הפלילה,את,השותף,לפשע,זו הַרְאָיָה שהשבוע בדירה של הפושעת הקשוחה הפלילה את השותף לפשע,הַרְאָיָה הפלילה את השותף לפשע,הפושעת הפלילה את השותף לפשע
